school_id,LSS Number,LSS Name,School Number,School Name,Grade,Enrolled Count 2019,Enrolled Count 2020,grade_id,pct_change,School Type
010301,01,Allegany,0301,Flintstone Elementary,Prekindergarten,13.0,19.0,010301Prekindergarten,0.46153846153846145,Elementary
010301,01,Allegany,0301,Flintstone Elementary,Kindergarten,31.0,28.0,010301Kindergarten,-0.09677419354838712,Elementary
010301,01,Allegany,0301,Flintstone Elementary,Grade 1,36.0,31.0,010301Grade 1,-0.13888888888888884,Elementary
010301,01,Allegany,0301,Flintstone Elementary,Grade 2,28.0,40.0,010301Grade 2,0.4285714285714286,Elementary
010301,01,Allegany,0301,Flintstone Elementary,Grade 3,40.0,30.0,010301Grade 3,-0.25,Elementary
010301,01,Allegany,0301,Flintstone Elementary,Grade 4,38.0,38.0,010301Grade 4,0.0,Elementary
010301,01,Allegany,0301,Flintstone Elementary,Grade 5,40.0,35.0,010301Grade 5,-0.125,Elementary
010301,01,Allegany,0301,Flintstone Elementary,Total Enrollment,226.0,221.0,010301Total Enrollment,-0.02212389380530977,Elementary
010401,01,Allegany,0401,South Penn Elementary,Prekindergarten,76.0,97.0,010401Prekindergarten,0.2763157894736843,Elementary
010401,01,Allegany,0401,South Penn Elementary,Kindergarten,93.0,63.0,010401Kindergarten,-0.32258064516129037,Elementary
010401,01,Allegany,0401,South Penn Elementary,Grade 1,77.0,87.0,010401Grade 1,0.1298701298701299,Elementary
010401,01,Allegany,0401,South Penn Elementary,Grade 2,79.0,78.0,010401Grade 2,-0.012658227848101222,Elementary
010401,01,Allegany,0401,South Penn Elementary,Grade 3,81.0,83.0,010401Grade 3,0.024691358024691468,Elementary
010401,01,Allegany,0401,South Penn Elementary,Grade 4,78.0,83.0,010401Grade 4,0.0641025641025641,Elementary
010401,01,Allegany,0401,South Penn Elementary,Grade 5,82.0,80.0,010401Grade 5,-0.024390243902439046,Elementary
010401,01,Allegany,0401,South Penn Elementary,Total Enrollment,566.0,571.0,010401Total Enrollment,0.008833922261484162,Elementary
010402,01,Allegany,0402,John Humbird Elementary,Prekindergarten,25.0,26.0,010402Prekindergarten,0.040000000000000036,Elementary
